Postcode,Latitude,Longitude,Easting,Northing,GridRef,County,District,Ward,DistrictCode,WardCode,Country,CountyCode,Constituency,Introduced,Terminated,Parish,NationalPark,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region
AB1 0AA,57.101478,-2.242852,385386,801193,NJ853011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AB,57.102558,-2.246309,385177,801314,NJ851013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AD,57.10056,-2.248342,385053,801092,NJ850010,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AE,57.084447,-2.255708,384600,799300,NO846993,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1994-02-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0AF,57.096659,-2.258103,384460,800660,NJ844006,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-12-01,1992-07-01,"","",,,"","","Culter - 06","Accessible small town",
AB1 0AG,57.097089,-2.267513,383890,800710,NJ838007,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1990-12-01,1992-07-01,"","",,,"","","Culter - 01","Accessible small town",
AB1 0AJ,57.099015,-2.252854,384779,800921,NJ847009,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AL,57.101769,-2.254688,384669,801228,NJ846012,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Culter - 06","Accessible small town",
AB1 0AN,57.097556,-2.245483,385225,800757,NJ852007,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AP,57.098247,-2.245768,385208,800834,NJ852008,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AQ,57.098557,-2.252504,384800,800870,NJ848008,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0AR,57.09136,-2.224832,386474,800063,NJ864000,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0AS,57.083842,-2.234438,385889,799228,NO858992,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0AT,57.089303,-2.239769,385568,799837,NO855998,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0AX,57.095683,-2.24788,385079,800549,NJ850005,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BA,57.090699,-2.255867,384593,799996,NO845999,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BB,57.086319,-2.258592,384426,799509,NO844995,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BD,57.079129,-2.268852,383801,798711,NO838987,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BE,57.090615,-2.257483,384495,799987,NO844999,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1991-03-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BJ,57.081424,-2.262319,384198,798965,NO841989,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BL,57.081941,-2.246568,385153,799019,NO851990,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BN,57.069315,-2.258012,384454,797616,NO844976,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BP,57.067255,-2.272212,383592,797390,NO835973,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BQ,57.067838,-2.284733,382833,797458,NO828974,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BR,57.062166,-2.278342,383218,796825,NO832968,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BS,57.051405,-2.265256,384007,795624,NO840956,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BT,57.057096,-2.250046,384932,796254,NO849962,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BX,57.069305,-2.235583,385814,797610,NO858976,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BY,57.082284,-2.236671,385753,799055,NO857990,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1986-05-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0BZ,57.082729,-2.238588,385637,799105,NO856991,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1986-05-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0DA,57.064198,-2.228427,386246,797040,NO862970,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0DB,57.070239,-2.244907,385249,797716,NO852977,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0DD,57.097814,-2.228007,386284,800782,NJ862007,"","Aberdeenshire","North Kincardine", S12000034,S13002505,Scotland,S99999999,"West Aberdeenshire and Kincardine",1980-01-01,1996-06-01,"","",,,"","","Dunecht, Durris and Drumoak - 01","Accessible rural area",
AB1 0DJ,57.102797,-2.243454,385350,801340,NJ853013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DL,57.101478,-2.242852,385386,801193,NJ853011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DN,57.101897,-2.239883,385566,801239,NJ855012,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DP,57.101386,-2.238956,385622,801182,NJ856011,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DQ,57.103208,-2.239743,385575,801385,NJ855013,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DR,57.104582,-2.235642,385824,801537,NJ858015,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0DS,57.105427,-2.234954,385866,801631,NJ858016,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0DT,57.10552,-2.233683,385943,801641,NJ859016,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 01","Accessible small town",
AB1 0DU,57.106631,-2.234747,385879,801765,NJ858017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 02","Accessible small town",
AB1 0DX,57.106394,-2.231955,386048,801738,NJ860017,"","Aberdeen City","Lower Deeside", S12000033,S13002484,Scotland,S99999999,"Aberdeen South",1980-01-01,1996-06-01,"","",,,"","","Cults, Bieldside and Milltimber West - 04","Accessible small town",
