Rank 2017	Rank 2016	Institution
1	1	Cambridge
2	2	Oxford
3	3	St Andrews
4	4	Surrey
4	11	Loughborough
6	6	Durham
7	8	Imperial College
8	10	Lancaster
9	6	Warwick
10	5	Bath
11	9	Exeter
12	13	London School of Economics
13	17	Birmingham
14	12	UCL
15	15	Coventry
16	23	Leeds
16	14	Southampton
18	37	City
19	22	York
20	19	Sussex
21	31	Falmouth
22	20	Edinburgh
23	16	Kent
24	20	UEA
25	28	Nottingham
26	24	Glasgow
27	18	Heriot
28	38	Dundee
29	33	Aston
30	26	SOAS
31	29	Manchester
32	25	Reading
33	27	Cardiff
34	38	Queen Mary
34	42	Keele
36	41	Aberdeen
37	29	Newcastle
38	35	Bristol
39	52	Swansea
39	501	University for the Creative Arts
41	42	Sheffield
42	36	King's College London
43	49	Portsmouth
44	46	Robert Gordon
45	40	Royal Holloway
46	50	Goldsmiths
47	32	Leicester
48	45	Queen's
48	73	Derby
50	68	Northumbria
51	33	Strathclyde
52	72	Bradford
53	51	Nottingham Trent
53	44	University of the Arts London
55	57	Bangor
56	54	Lincoln
57	48	Oxford Brookes
58	65	Stirling
59	59	Liverpool
60	77	Manchester Met
61	65	De Montfort
62	47	Essex
63	75	Winchester
64	69	Edge Hill
65	69	Chester
66	61	Bath Spa
66	88	Anglia Ruskin
68	79	UWE Bristol
69	83	Staffordshire
70	64	Edinburgh Napier
71	54	Hull
72	54	Gloucestershire
73	61	Northampton
74	81	Middlesex
75	71	Chichester
76	87	Plymouth
77	53	Brunel
77	59	Huddersfield
79	82	Ulster
79	63	Bournemouth
79	104	Liverpool Hope
79	109	Sunderland
83	90	Salford
84	58	Liverpool John Moores
85	93	Abertay Dundee
86	74	Sheffield Hallam
87	85	Central Lancashire
88	84	Leeds Trinity
88	97	Kingston
90	78	Roehampton
91	67	Brighton
91	95	Cardiff Met
93	105	Bolton
94	79	Hertfordshire
95	108	Worcester
96	94	West London
97	99	University Campus Suffolk
98	92	Greenwich
99	89	Glasgow Caledonian
100	114	Southampton Solent
101	76	Queen Margaret
102	91	Teesside
103	115	West of Scotland
104	107	York St John
105	86	Birmingham City
106	100	St Mary's
107	111	London South Bank
108	110	Aberystwyth
109	101	Canterbury Christ Church
110	112	Newman
111	113	South Wales
112	101	Westminster
113	98	Bedfordshire
114	116	Leeds Beckett
115	106	East London
116	119	Bucks New University
117	96	Cumbria
118	118	London Met
119	103	Glyndwr
