"station_nbr","date","tmax","tmin","tavg","depart","dewpoint","wetbulb","heat","cool","sunrise","sunset","codesum","snowfall","preciptotal","stnpressure","sealevel","resultspeed","resultdir","avgspeed"
1,2012-01-01,"52","31","42","M","36","40","23"," 0","-","-","RA FZFG BR","M","0.05","29.78","29.92"," 3.6","20","4.6"
2,2012-01-01,"48","33","41","16","37","39","24"," 0","0716","1626","RA","0.0","0.07","28.82","29.91"," 9.1","23","11.3"
1,2012-01-02,"50","31","41","M","26","35","24"," 0","-","-"," ","M","0.01","29.44","29.62"," 9.8","24","10.3"
2,2012-01-02,"46","28","37","12","24","32","28"," 0","0716","1627"," ","  T","0.01","28.51","29.62","12.7","26","13.3"
1,2012-01-03,"32","11","22","M","4","18","43"," 0","-","-"," ","M","0.00","29.67","29.87","10.8","31","11.6"
2,2012-01-03,"28","9","19","-6","4","16","46"," 0","0716","1628"," ","0.0","0.00","28.69","29.85","12.3","31","12.8"
1,2012-01-04,"28","9","19","M","-1","14","46"," 0","-","-"," ","M","0.00","29.86","30.03"," 6.3","27","8.3"
2,2012-01-04,"21","5","13","-11","0","11","52"," 0","0716","1629"," ","0.0","0.00","28.87","30.01","10.1","27","11.7"
1,2012-01-05,"38","25","32","M","13","25","33"," 0","-","-"," ","M","0.00","29.67","29.84"," 6.9","25","7.8"
2,2012-01-05,"31","20","26"," 2","12","21","39"," 0","0716","1630"," ","0.0","0.00","28.70","29.84","10.9","26","11.3"
1,2012-01-06,"46","25","36","M","21","29","29"," 0","-","-","SN","M","  T","29.68","29.84"," 0.3","01","2.4"
2,2012-01-06,"47","21","34","10","23","30","31"," 0","0716","1630","SN","0.2","0.01","28.71","29.81"," 6.4","22","6.8"
1,2012-01-07,"57","28","43","M","28","36","22"," 0","-","-"," ","M","0.00","29.57","29.76"," 3.0","26","3.6"
2,2012-01-07,"56","37","47","23","29","38","18"," 0","0716","1631"," ","0.0","0.00","28.63","29.75"," 8.9","26","9.6"
1,2012-01-08,"45","27","36","M","22","32","29"," 0","-","-"," ","M","0.00","29.90","30.11"," 5.1","30","6.6"
2,2012-01-08,"39","25","32"," 8","20","29","33"," 0","0716","1633"," ","0.0","0.00","28.95","30.11","10.8","29","11.0"
1,2012-01-09,"39","23","31","M","12","25","34"," 0","-","-"," ","M","0.00","30.06","30.20"," 2.3","23","4.0"
2,2012-01-09,"38","21","30"," 6","12","M","35"," 0","0716","1634"," ","0.0","0.00","29.05","M"," 6.9","25","7.9"
1,2012-01-10,"47","29","38","M","24","32","27"," 0","-","-"," ","M","  T","29.69","29.86"," 5.4","25","6.5"
2,2012-01-10,"41","25","33"," 9","24","30","32"," 0","0716","1635","SN","  T","  T","28.74","29.86"," 9.6","26","10.0"
1,2012-01-11,"39","24","32","M","21","29","33"," 0","-","-"," ","M","0.00","29.91","30.10"," 3.4","07","4.2"
2,2012-01-11,"38","28","33"," 9","22","28","32"," 0","0715","1636"," ","0.0","0.00","28.92","30.06"," 1.5","09","4.5"
1,2012-01-12,"40","31","36","M","31","34","29"," 0","-","-","RA SN BR","M","0.69","29.62","29.74","10.7","05","12.3"
2,2012-01-12,"33","30","32"," 8","31","31","33"," 0","0715","1637","RA SN FG+ FG FZFG BR UP","3.6","1.06","28.62","29.69","10.5","05","10.7"
1,2012-01-13,"50","30","40","M","27","32","25"," 0","-","-","RA FZRA FG+ FG BR UP","M","0.02","29.24","29.41"," 8.7","24","12.7"
2,2012-01-13,"40","24","32"," 8","24","28","33"," 0","0715","1638","FZRA FG+ FZFG UP","  T","0.09","28.30","29.40"," 9.7","24","15.8"
1,2012-01-14,"35","14","25","M","12","23","40"," 0","-","-"," ","M","0.00","29.58","29.81","11.1","28","12.5"
2,2012-01-14,"28","12","20","-3","8","19","45"," 0","0714","1639"," ","0.0","0.00","28.64","29.81","16.1","27","16.7"
1,2012-01-15,"16","4","10","M","-5","7","55"," 0","-","-"," ","M","0.00","30.09","30.31","11.2","31","11.6"
2,2012-01-15,"13","2","8","-15","-3","5","57"," 0","0714","1640"," ","0.0","0.00","29.05","30.28","13.6","31","13.8"
1,2012-01-16,"32","8","20","M","3","17","45"," 0","-","-","SN BR","M","0.05","30.29","30.43"," 5.1","23","7.1"
2,2012-01-16,"30","4","17","-6","3","14","48"," 0","0713","1641","SN FZFG BR UP","2.0","0.15","29.27","30.41"," 8.6","24","12.0"
1,2012-01-17,"46","32","39","M","34","37","26"," 0","-","-","RA SN BR HZ","M","0.09","29.72","29.82"," 4.9","21","5.9"
2,2012-01-17,"44","30","37","14","33","35","28"," 0","0713","1643","RA SN FG+ BR","1.2","0.09","28.74","29.80","13.5","23","13.8"
1,2012-01-18,"50","19","35","M","15","29","30"," 0","-","-","RA","M","  T","29.55","29.79","13.7","29","15.9"
2,2012-01-18,"46","16","31"," 8","14","25","34"," 0","0712","1644"," ","0.0","0.00","28.62","29.81","17.0","28","19.2"
1,2012-01-19,"31","13","22","M","11","20","43"," 0","-","-","SN BR","M","0.02","30.03","30.18"," 1.4","04","2.9"
2,2012-01-19,"26","10","18","-5","9","16","47"," 0","0712","1645","SN BR","1.3","0.14","29.02","30.13"," 2.0","12","6.8"
1,2012-01-20,"31","19","25","M","12","23","40"," 0","-","-","SN BR","M","0.08","29.90","30.11"," 6.0","29","6.7"
2,2012-01-20,"27","15","21","-2","11","19","44"," 0","0711","1646","SN BR","1.0","0.01","28.92","30.09"," 9.3","28","10.0"
1,2012-01-21,"20","13","17","M","9","16","48"," 0","-","-","SN","M","0.12","30.08","30.26"," 5.9","01","6.0"
2,2012-01-21,"17","12","15","-8","9","14","50"," 0","0710","1647","SN FZFG BR","4.3","0.31","29.04","30.20"," 6.4","03","6.7"
1,2012-01-22,"28","7","18","M","12","18","47"," 0","-","-"," ","M","  T","30.34","30.54"," 3.4","04","3.7"
2,2012-01-22,"28","11","20","-3","11","17","45"," 0","0710","1649"," ","0.0","0.00","29.31","30.50"," 4.0","04","6.0"
1,2012-01-23,"48","27","38","M","30","34","27"," 0","-","-","RA BR","M","0.12","30.15","30.25"," 0.8","07","2.2"
2,2012-01-23,"47","24","36","13","29","31","29"," 0","0709","1650","RA SN FG+ FG BR","  T","0.17","29.14","30.22"," 2.5","12","3.8"
1,2012-01-24,"55","41","48","M","39","44","17"," 0","-","-","BR","M","  T","29.73","29.92"," 6.8","25","8.3"
2,2012-01-24,"50","35","43","20","38","42","22"," 0","0708","1651","BR","0.0","0.03","28.80","29.93","11.1","26","12.6"
1,2012-01-25,"42","35","39","M","23","32","26"," 0","-","-"," ","M","0.00","29.97","30.15"," 8.2","28","8.7"
2,2012-01-25,"36","31","34","11","23","29","31"," 0","0707","1652"," ","0.0","0.00","29.03","30.16","11.5","29","11.9"
1,2012-01-26,"43","32","38","M","23","31","27"," 0","-","-","RA FZRA SN BR UP","M","0.15","30.00","30.16"," 1.7","35","4.2"
2,2012-01-26,"38","28","33","10","28","31","32"," 0","0707","1654","FZRA SN FG+ FZFG BR UP","  T","0.20","29.02","30.12"," 1.7","12","5.0"
1,2012-01-27,"45","34","40","M","36","38","25"," 0","-","-","RA BR","M","1.14","29.46","29.57"," 3.2","36","7.5"
2,2012-01-27,"40","31","36","13","33","34","29"," 0","0706","1655","RA FZRA FG+ FG BR UP","  T","0.69","28.48","29.56"," 5.6","32","12.0"
1,2012-01-28,"48","32","40","M","27","35","25"," 0","-","-"," ","M","0.00","29.68","29.88"," 5.5","25","8.0"
2,2012-01-28,"43","31","37","14","26","32","28"," 0","0705","1656","SN","  T","  T","28.74","29.88"," 8.8","25","11.1"
1,2012-01-29,"43","31","37","M","15","30","28"," 0","-","-"," ","M","0.00","29.83","30.01","10.4","25","11.4"
2,2012-01-29,"37","30","34","10","14","27","31"," 0","0704","1658"," ","  T","  T","28.88","30.01","13.3","25","13.7"
1,2012-01-30,"39","25","32","M","15","27","33"," 0","-","-","SN","M","  T","29.91","30.12"," 6.6","28","7.7"
2,2012-01-30,"34","23","29"," 5","15","25","36"," 0","0703","1659"," ","  T","  T","28.95","30.11","10.7","28","12.4"
1,2012-01-31,"44","25","35","M","26","31","30"," 0","-","-","SN BR","M","  T","30.00","30.14"," 2.4","03","3.4"
2,2012-01-31,"45","24","35","11","21","29","30"," 0","0702","1700"," ","0.0","0.00","29.00","30.11"," 1.5","11","3.2"
1,2012-02-01,"56","31","44","M","33","37","21"," 0","-","-","RA FG+ FG FZFG BR HZ","M","0.01","29.72","29.88"," 4.5","26","5.1"
2,2012-02-01,"55","33","44","20","33","39","21"," 0","0701","1701","RA","0.0","0.01","28.77","29.87","11.1","26","11.9"
1,2012-02-02,"43","30","37","M","26","32","28"," 0","-","-"," ","M","0.00","29.88","30.07"," 4.4","04","7.1"
2,2012-02-02,"38","28","33"," 9","26","31","32"," 0","0660","1703","BR","0.0","0.00","28.90","30.04"," 3.3","34","6.1"
1,2012-02-03,"38","23","31","M","13","26","34"," 0","-","-"," ","M","0.00","30.14","30.32"," 6.5","31","7.7"
2,2012-02-03,"36","19","28"," 4","12","23","37"," 0","0659","1704"," ","0.0","0.00","29.15","30.31"," 9.0","31","10.3"
1,2012-02-04,"39","26","33","M","16","28","32"," 0","-","-"," ","M","  T","30.03","30.19"," 5.5","31","8.1"
2,2012-02-04,"39","25","32"," 8","17","27","33"," 0","0658","1705"," ","0.0","0.00","29.05","30.17"," 7.8","29","9.2"
1,2012-02-05,"36","17","27","M","8","22","38"," 0","-","-"," ","M","0.00","29.96","30.13"," 2.5","28","3.7"
2,2012-02-05,"33","17","25"," 1","7","20","40"," 0","0657","1707"," ","0.0","0.00","28.97","30.11"," 4.2","31","5.6"
1,2012-02-06,"52","26","39","M","18","31","26"," 0","-","-"," ","M","0.00","29.78","29.92"," 9.0","23","9.5"
2,2012-02-06,"47","23","35","11","18","29","30"," 0","0656","1708"," ","0.0","0.00","28.84","29.94","14.4","26","14.6"
1,2012-02-07,"45","27","36","M","20","31","29"," 0","-","-"," ","M","0.00","29.83","30.04"," 5.2","31","6.5"
2,2012-02-07,"42","27","35","10","21","30","30"," 0","0654","1709"," ","0.0","0.00","28.87","30.02"," 8.1","29","9.1"
1,2012-02-08,"38","17","28","M","7","23","37"," 0","-","-"," ","M","0.00","30.08","30.22"," 2.5","23","4.3"
2,2012-02-08,"34","16","25"," 0","8","22","40"," 0","0653","1711"," ","0.0","0.00","29.08","30.20"," 4.0","25","5.6"
1,2012-02-09,"48","27","38","M","12","29","27"," 0","-","-"," ","M","0.00","29.85","30.03"," 4.4","27","5.4"
2,2012-02-09,"43","27","35","10","11","26","30"," 0","0652","1712"," ","0.0","0.00","28.90","30.03","10.4","28","11.0"
1,2012-02-10,"51","25","38","M","17","32","27"," 0","-","-"," ","M","0.00","29.86","30.01"," 6.0","21","6.5"
2,2012-02-10,"46","28","37","12","17","30","28"," 0","0651","1713"," ","0.0","0.00","28.90","30.00"," 8.5","23","9.2"
1,2012-02-11,"41","27","34","M","23","31","31"," 0","-","-","SN","M","  T","29.57","29.69"," 5.6","35","7.5"
2,2012-02-11,"38","23","31"," 6","21","28","34"," 0","0649","1714","SN BR","0.5","0.01","28.59","29.67"," 5.4","35","8.0"
