Date,Daily Installs,Weekly Installs,Mean Install Duration,Daily Unique Users,New Unique Users,Sessions,Sessions per User,Weekly Active Users,7D New Unique User,Mean Session Length,Total Daily Play Time (Minutes),LTD Play Time (Minutes),1 Day Returning Users,3 Day Returning Users,7 Day Returning Users,30 Day Returning Users,Rounds Played,Players per Round,Hero Win Rate,Creatures Killed,Gold Spent,Gold Earned,Chests Opened
1,153,153,47.71,921,61,1284,1.39,921,61,127.01,163092.27,662928324,674,56,283,543,467,4.64,0.52,21701,112478,52192,1486
2,630,783,51.9,4177,554,8805,2.11,5098,615,120.75,1063149.41,663091417.7,1331,43,1341,11,2567,4.61,0.51,135394,61876,5953,7730
3,50,833,49.94,321,40,449,1.4,5419,655,127.01,57013.52,664154591.6,117,424,606,201,105,4.37,0.49,5307,69644,183644,320
4,973,1805,51.43,6368,249,16036,2.52,11786,904,117.6,1885779.5,664211605,3249,754,98,148,10331,3.99,0.48,512201,3473109,3292241,32575
5,339,2144,50.85,2091,30,3459,1.65,13878,907,122.78,424683.74,666097351.7,1657,379,166,518,2339,3.87,0.52,114452,191946,86431,7592
6,94,2238,51.83,670,54,1087,1.62,14547,961,114.22,124207.4,666522030.7,344,1786,93,108,445,4.07,0.5,21062,82255,118813,1607
7,224,2463,47.38,1356,129,1899,1.4,15903,1090,127.01,241197.07,666646239.5,843,1437,758,116,783,4.22,0.48,33861,81516,160267,2628
8,135,2597,50.28,990,126,1484,1.5,15972,1155,112.78,167355.37,666887438.1,543,345,730,624,592,4.12,0.48,27549,36778,43392,1763
9,92,2537,47.49,573,83,582,1.02,12368,684,124.72,72594.52,667054794.5,273,906,56,174,120,4.68,0.5,5477,15361,46911,377
10,131,2038,49.9,1083,70,1518,1.4,13131,714,127.73,193928.63,667127389,600,1013,1798,28,553,4.26,0.52,29805,788011,1209041,1966
11,1173,3162,48.66,8473,251,13830,1.63,15236,717,118.73,1642043.02,667321311.5,6469,735,1265,256,8574,4.02,0.51,418873,5255696,5228637,28692
12,1001,3190,51.63,6230,524,6342,1.02,19375,1238,130.63,828518.16,668963351.6,3233,854,178,81,1498,4.47,0.5,66445,668638,1866155,4446
13,577,3429,48.51,3788,37,5172,1.37,22493,1221,111.92,578837.93,669791888.3,2382,4230,530,115,2309,3.85,0.52,105930,400908,606376,7962
14,183,3517,48.72,1241,80,2318,1.87,22378,1172,121.77,282229.98,670370708.3,781,1515,342,63,1326,4.11,0.48,65175,549617,706103,4100
15,614,3907,50.01,4886,438,5494,1.12,26275,1483,124.57,684353.95,670652945.7,2039,4109,114,747,1206,4.27,0.52,53650,19671,62958,3814
16,14,3786,51.61,93,56,105,1.13,25795,1407,118.1,12409.95,671337300.8,75,1915,484,755,45,4.25,0.5,2091,3924,5529,124
17,77,3770,47.73,609,49,1025,1.68,25321,1386,127.54,130678.76,671349710,409,1917,4342,3,505,4.58,0.52,23638,113022,157327,1609
18,381,4020,49.54,2422,227,2347,1.3,19270,1362,130.07,305317.21,671480393.5,1108,736,1479,94,719,3.88,0.52,38978,977420,637341,2118
19,2476,5322,47.51,16129,127,14395,1.3,29168,964,121.46,1748423.99,671785706.8,6406,685,946,92,3455,4.3,0.5,161157,606856,1312291,11487
20,248,4569,48.34,1733,123,3482,2.01,27114,1050,121.81,424166.78,673534182.4,844,1000,380,110,1389,4.91,0.49,63080,246241,466631,4272
21,279,4271,50.62,1973,21,2765,1.4,27846,991,123.19,340596.94,673958356.9,1011,1191,1045,65,987,4.02,0.51,43920,233550,462659,3143
22,303,4391,48.75,2485,149,2959,1.19,25445,703,119.09,352444.47,674298964.1,1180,2820,36,195,760,4.4,0.49,33018,160336,397561,2352
23,269,4047,49.47,1762,131,2000,1.14,27114,827,116.08,232193.66,674651421.7,1072,1716,249,533,648,4.26,0.5,35957,390886,677401,2015
24,721,4754,49.52,4940,43,11703,2.37,31445,820,115.58,1352655.86,674883605.8,2683,1670,602,27,7498,4.02,0.52,408837,6366900,6310365,25853
25,1106,5402,50.99,8198,346,8829,1.08,37221,939,142.05,1254193.54,676236315.8,4221,1862,3706,321,3456,4.49,0.49,149196,602348,1154148,12589
26,204,3131,52.11,1102,135,1786,1.62,22195,948,130.85,233733.43,677313905.2,695,2700,555,143,290,4.19,0.5,13233,53722,105093,931
27,310,3192,52.74,2273,113,2406,1.06,22734,938,114.26,274866.14,677401061.7,955,1100,426,59,513,4.22,0.52,21796,36678,104813,1754
28,100,3014,53.4,772,30,1556,2.02,21533,947,115.88,180308.12,677675917.8,350,2074,545,71,689,4.45,0.52,30977,270496,392127,2255
29,598,3308,53.89,3734,20,5016,1.34,22782,818,142.13,712861.54,677856225.4,2054,1032,592,34,2020,3.74,0.51,97069,1539134,1992480,6933
30,880,3918,51.53,6227,456,7092,1.14,27247,1144,129.4,917678.92,678500889.5,2940,860,1270,44,1779,4.34,0.48,95731,403618,607898,6042
31,215,3412,50.98,1578,71,1816,1.15,23885,1172,121.81,221236.19,679280379.9,979,1706,1779,261,345,4.54,0.52,15556,525140,1179055,1131
32,2406,4712,48.74,14994,1917,31267,2.09,30680,2743,110.87,3466558.99,679416351.3,7216,2602,286,15,14276,4.4,0.52,568258,7978187,9327696,46010
33,1165,5672,49.72,7330,956,13206,1.8,36908,3563,119.47,1577692.15,682883022.6,2451,1143,316,213,4077,3.9,0.49,179895,488135,833229,12160
34,136,5499,51.56,1074,111,822,1.5,35708,3561,108.04,88828.33,684460697.6,482,3988,147,94,310,3.58,0.52,15179,12136,18821,911
